0/81/112/171,337/80/112/171,706/82/112/171,1380/113/112/171,1688/82/112/171,2026/96/112/171
0/98/115/174,275/129/115/174,644/47/115/174,1190/64/115/174,1526/81/115/174,1847/99/115/174
0/33/118/168,290/80/118/168,595/47/118/168,1158/64/118/168,1462/96/118/168,1799/95/118/168
0/79/115/174,335/116/115/174,613/113/115/174,1254/113/118/174,1563/96/118/174,1867/97/118/174
0/80/115/174,306/96/115/174,627/63/115/174,1235/81/115/174,1572/65/115/174,1877/47/115/174
0/98/120/174,321/80/120/174,640/65/118/174,1255/95/118/174,1573/81/118/174,1914/96/118/174
0/96/118/168,307/79/118/168,626/80/118/168,1221/96/118/168,1526/128/118/168,1831/95/118/168
0/80/500/852,320/80/500/852,625/99/500/852,1222/81/500/852,1558/82/500/852,1802/97/500/852
0/111/115/171,432/95/115/171,848/96/115/171,1359/113/115/171,1843/112/115/171,2308/98/115/171
0/65/123/177,1189/81/120/177,1913/65/120/177,2268/81/120/177,2636/81/120/177,2992/65/120/177
0/79/112/168,191/81/112/168,383/96/112/168,613/80/112/168,1416/81/112/168,1643/112/112/168
